# legacy_import -> legacyPages reconciliation
# docId	kind	route-or-canonical
chiro-paris__about	utility	/about
chiro-paris__about-chiro	utility	/services/chiropractic
chiro-paris__acupuncture	curated	/services/chiropractic/acupuncture
chiro-paris__adjustments-and-manipulation	legacy	/services/chiropractic/adjustments-and-manipulation
chiro-paris__auto-injury	curated	/services/chiropractic/auto-injury
chiro-paris__chiropractic-massage-therapy	legacy	/services/chiropractic/chiropractic-massage-therapy
chiro-paris__cold-laser-therapy	legacy	/services/chiropractic/cold-laser-therapy
chiro-paris__common-chiropractic-conditions	curated	/services/chiropractic/common-chiropractic-conditions
chiro-paris__contact	utility	/contact
chiro-paris__cryotherapy	legacy	/services/chiropractic/cryotherapy
chiro-paris__custom-foot-orthotics	legacy	/services/chiropractic/custom-foot-orthotics
chiro-paris__deep-tissue-massage	legacy	/services/chiropractic/deep-tissue-massage
chiro-paris__degenerative-disc-disease	curated	/services/chiropractic/degenerative-disc-disease
chiro-paris__disclaimers__hipaa_policy	skip	(none)
chiro-paris__disclaimers__privacy_policy	skip	(none)
chiro-paris__disclaimers__terms_of_use	skip	(none)
chiro-paris__educational-videos	utility	/
chiro-paris__electrical-muscle-stimulation	legacy	/services/chiropractic/electrical-muscle-stimulation
chiro-paris__electrical-stimulation-therapies	legacy	/services/chiropractic/electrical-stimulation-therapies
chiro-paris__exercise-videos	utility	/
chiro-paris__herniated-disc-treatments	legacy	/services/chiropractic/herniated-disc-treatments
chiro-paris__hot-stone-massage	legacy	/services/chiropractic/hot-stone-massage
chiro-paris__ice-pack-cryotherapy	legacy	/services/chiropractic/ice-pack-cryotherapy
chiro-paris__index	skip	(none)
chiro-paris__injuries	legacy	/services/chiropractic/injuries
chiro-paris__injury-rehab	curated	/services/chiropractic/injury-rehab
chiro-paris__interferential-current-therapy	curated	/services/chiropractic/interferential-current-therapy
chiro-paris__knee-pain-treatments	legacy	/services/chiropractic/knee-pain-treatments
chiro-paris__links	utility	/faq
chiro-paris__low-back-pain-treatments	legacy	/services/chiropractic/low-back-pain-treatments
chiro-paris__meet-the-doctor	utility	/about
chiro-paris__neck-pain-treatments	legacy	/services/chiropractic/neck-pain-treatments
chiro-paris__new-patients	utility	/patient-forms
chiro-paris__patient-forms	utility	/patient-forms
chiro-paris__patient-resources	utility	/patient-forms
chiro-paris__pediatric-care	curated	/services/chiropractic/pediatric-care
chiro-paris__personal-injury	curated	/services/chiropractic/personal-injury
chiro-paris__pinched-nerve-treatments	legacy	/services/chiropractic/pinched-nerve-treatments
chiro-paris__prenatal-chiropractic	curated	/services/chiropractic/prenatal-chiropractic
chiro-paris__prenatal-massage	legacy	/services/chiropractic/prenatal-massage
chiro-paris__q-and-a	utility	/faq
chiro-paris__relaxation-massage	legacy	/services/chiropractic/relaxation-massage
chiro-paris__sciatica-treatments	legacy	/services/chiropractic/sciatica-treatments
chiro-paris__services	utility	/services
chiro-paris__sitemap	skip	(none)
chiro-paris__spinal-decompression	curated	/services/chiropractic/spinal-decompression
chiro-paris__spinal-wellness-tips	utility	/faq
chiro-paris__spine-care	curated	/services/chiropractic/spine-care
chiro-paris__spine-specialist	legacy	/services/chiropractic/spine-specialist
chiro-paris__sports-injury	curated	/services/chiropractic/sports-injury
chiro-paris__sports-massage	legacy	/services/chiropractic/sports-massage
chiro-paris__staff	utility	/locations/paris/staff
chiro-paris__stretch---flex-rehab	legacy	/services/chiropractic/stretch---flex-rehab
chiro-paris__swedish-massage	legacy	/services/chiropractic/swedish-massage
chiro-paris__testimonials__page	utility	/reviews
chiro-paris__thai-massage	legacy	/services/chiropractic/thai-massage
chiro-paris__therapeutic-exercise	curated	/services/chiropractic/therapeutic-exercise
chiro-paris__therapeutic-ultrasound	curated	/services/chiropractic/therapeutic-ultrasound
chiro-paris__vertebral-subluxation-complex	legacy	/services/chiropractic/vertebral-subluxation-complex
chiro-paris__wellness-care-plans	legacy	/services/chiropractic/wellness-care-plans
chiro-paris__what-is-chiropractic-massage-therapy	legacy	/services/chiropractic/what-is-chiropractic-massage-therapy
chiro-sulphur__about-chiro	utility	/services/chiropractic
chiro-sulphur__about-us	utility	/about
chiro-sulphur__acupuncture	legacy	/sulphur-springs/acupuncture
chiro-sulphur__adjustments-and-manipulation	curated	/sulphur-springs/adjustments-and-manipulation
chiro-sulphur__appointment	utility	/book
chiro-sulphur__appointment-request	utility	/book
chiro-sulphur__auto-injury	curated	/sulphur-springs/auto-injury
chiro-sulphur__common-chiropractic-conditions	curated	/sulphur-springs/common-chiropractic-conditions
chiro-sulphur__contact-us	utility	/contact
chiro-sulphur__covid--19	skip	(none)
chiro-sulphur__degenerative-disc-disease	curated	/sulphur-springs/degenerative-disc-disease
chiro-sulphur__educational-videos	utility	/
chiro-sulphur__electrical-muscle-stimulation	curated	/sulphur-springs/electrical-muscle-stimulation
chiro-sulphur__exercise-videos	utility	/
chiro-sulphur__ice-pack-cryotherapy	curated	/sulphur-springs/ice-pack-cryotherapy
chiro-sulphur__index	skip	(none)
chiro-sulphur__injuries	legacy	/sulphur-springs/injuries
chiro-sulphur__links	utility	/faq
chiro-sulphur__meet-the-staff	utility	/sulphur-springs/staff
chiro-sulphur__new-patients	utility	/patient-forms
chiro-sulphur__personal-injury	curated	/sulphur-springs/personal-injury
chiro-sulphur__postural-rehabilitation	curated	/sulphur-springs/postural-rehabilitation
chiro-sulphur__q-and-a	utility	/faq
chiro-sulphur__services	utility	/services
chiro-sulphur__sitemap	skip	(none)
chiro-sulphur__spinal-decompression	curated	/sulphur-springs/spinal-decompression
chiro-sulphur__spinal-wellness-tips	utility	/faq
chiro-sulphur__sports-injury	curated	/sulphur-springs/sports-injury
chiro-sulphur__testimonials	utility	/reviews
chiro-sulphur__therapeutic-exercise	curated	/sulphur-springs/therapeutic-exercise
chiro-sulphur__therapeutic-ultrasound	curated	/sulphur-springs/therapeutic-ultrasound
chiro-sulphur__vertebral-subluxation-complex	curated	/sulphur-springs/vertebral-subluxation-complex
massage-paris__3d-spine-simulator	skip	(none)
massage-paris__about	utility	/about
massage-paris__acupuncture	legacy	/services/massage/acupuncture
massage-paris__adjustments-and-manipulation	legacy	/services/massage/adjustments-and-manipulation
massage-paris__auto-injury	legacy	/services/massage/auto-injury
massage-paris__back-pain-relief	legacy	/services/massage/back-pain-relief
massage-paris__burn-scar-massage	legacy	/services/massage/burn-scar-massage
massage-paris__chiropractic-care	legacy	/services/massage/chiropractic-care
massage-paris__cold-laser-therapy	legacy	/services/massage/cold-laser-therapy
massage-paris__common-chiropractic-conditions	legacy	/services/massage/common-chiropractic-conditions
massage-paris__contact	utility	/contact
massage-paris__custom-foot-orthotics	legacy	/services/massage/custom-foot-orthotics
massage-paris__deep-tissue-massage	legacy	/services/massage/deep-tissue-massage
massage-paris__degenerative-disc-disease	legacy	/services/massage/degenerative-disc-disease
massage-paris__electrical-muscle-stimulation	legacy	/services/massage/electrical-muscle-stimulation
massage-paris__gentle-massage-therapy	legacy	/services/massage/gentle-massage-therapy
massage-paris__hot-stone-massage	legacy	/services/massage/hot-stone-massage
massage-paris__ice-pack-cryotherapy	legacy	/services/massage/ice-pack-cryotherapy
massage-paris__index	skip	(none)
massage-paris__injury-pain-relief	legacy	/services/massage/injury-pain-relief
massage-paris__interferential-current-therapy	legacy	/services/massage/interferential-current-therapy
massage-paris__joint-pain-relief	legacy	/services/massage/joint-pain-relief
massage-paris__massage-prices	legacy	/services/massage/massage-prices
massage-paris__massage-therapy	legacy	/services/massage/massage-therapy
massage-paris__microcurrent-therapy	legacy	/services/massage/microcurrent-therapy
massage-paris__muscle-pain-treatments	legacy	/services/massage/muscle-pain-treatments
massage-paris__natural-stress-relief	legacy	/services/massage/natural-stress-relief
massage-paris__neck-pain-relief	legacy	/services/massage/neck-pain-relief
massage-paris__patient-forms	utility	/patient-forms
massage-paris__personal-injury	legacy	/services/massage/personal-injury
massage-paris__plugins__editor__cms__content__baystonechiro__3d_spine__nerve_chart__nerve.html	skip	(none)
